-- DTU dataset for estimating relative camera pose (Training data)
10 42 4 0.846742 0.325411 -0.337735 -0.251138 0.369308 0.727735 -0.577939
23 45 31 0.948640 0.206437 0.231773 0.061215 -0.047997 -0.773983 -0.631385
13 47 43 0.950665 0.286294 -0.089432 -0.079204 -0.195644 -0.009598 -0.980628
10 11 9 0.984409 0.018787 0.101250 0.142601 0.914024 -0.377661 0.148092
32 48 42 0.977582 0.105771 0.178800 0.034300 0.615668 -0.601223 -0.509396
8 38 70 0.920936 0.257545 -0.214705 -0.198618 0.329651 0.732735 -0.595340
24 43 30 0.977504 0.194113 -0.066026 -0.049467 -0.141043 0.230845 -0.962714
40 42 27 0.979573 0.006661 0.198650 0.030494 -0.081159 -0.916121 0.392601
37 41 27 0.994795 0.100717 0.012223 -0.009484 -0.212796 -0.263065 -0.941018
15 42 12 0.905265 0.257240 -0.289350 -0.174929 0.302418 0.709192 -0.636859
11 33 38 0.921399 0.260301 -0.211863 -0.195909 -0.252742 0.369986 -0.893998
2 8 5 0.901267 0.039634 -0.210506 -0.376608 0.241150 0.779657 -0.577912
8 38 21 0.920936 0.257545 -0.214705 -0.198618 0.329651 0.732735 -0.595340
15 23 16 0.958333 0.070905 -0.214386 -0.174954 0.107340 0.758809 -0.642407
23 34 7 0.982945 0.109461 0.137462 0.054239 -0.027756 -0.930591 -0.365008
17 21 3 0.968828 0.074557 -0.181872 -0.150782 0.440914 0.729638 -0.522707
38 41 41 0.987590 0.104742 0.115717 0.017451 -0.455076 -0.771289 -0.444993
21 38 60 0.994262 0.096967 -0.034230 -0.029487 -0.069680 0.263786 -0.962061
48 49 41 0.994901 0.002860 0.099635 0.015412 0.970146 -0.240924 0.027808
22 44 13 0.944115 0.207135 0.247482 0.067042 -0.197554 -0.807091 -0.556396
32 48 28 0.977582 0.105771 0.178800 0.034300 0.615668 -0.601223 -0.509396
34 43 47 0.989491 0.094687 -0.102154 -0.038824 -0.031593 0.505251 -0.862394
10 17 36 0.931778 0.056213 -0.231319 -0.274082 0.195676 0.776030 -0.599574
33 42 47 0.946300 0.081525 -0.299744 -0.089577 0.267695 0.812007 -0.518638
26 28 10 0.972038 0.017923 0.199078 0.123245 0.954664 -0.288423 -0.073684
12 30 3 0.974434 0.187797 -0.092719 -0.081330 -0.325419 -0.297730 -0.897474
24 37 23 0.954777 0.075582 -0.253537 -0.135676 0.438429 0.775658 -0.454020
22 42 14 0.977467 0.202272 0.060296 -0.002998 -0.382266 -0.268916 -0.884057
12 29 62 0.980069 0.197020 -0.002227 -0.025350 0.037198 -0.524096 -0.850847
28 29 44 0.990308 0.105352 0.085455 0.029798 0.587524 -0.545385 -0.597805
31 33 19 0.977099 -0.011116 -0.199366 -0.073528 -0.383929 0.719262 -0.579018
12 47 12 0.928740 0.270465 -0.212414 -0.138459 -0.193768 0.185570 -0.963337
22 43 11 0.965624 0.205961 0.155270 0.032264 -0.358312 -0.631960 -0.687197
6 22 2 0.952705 0.213585 0.168587 0.135323 -0.681183 -0.592137 -0.430539
9 23 59 0.965444 0.175896 -0.128502 -0.143057 -0.281188 0.502801 -0.817389
14 43 65 0.893009 0.252228 -0.320755 -0.189820 0.235442 0.685148 -0.689304
2 15 77 0.967461 0.175756 -0.095153 -0.155163 -0.677080 0.001478 -0.735908
14 43 35 0.893009 0.252228 -0.320755 -0.189820 0.235442 0.685148 -0.689304
32 35 27 0.948761 -0.016834 -0.295960 -0.109441 0.066638 0.849761 -0.522939
1 10 58 0.938356 0.054457 -0.164620 -0.299037 -0.572859 0.514866 -0.637766
38 43 40 0.942854 0.109550 0.307378 0.067407 -0.107292 -0.991681 -0.071114
28 48 18 0.979145 0.196002 -0.037443 -0.038166 -0.117034 -0.245155 -0.962394
29 49 24 0.994400 0.098036 -0.033279 -0.021199 -0.176193 -0.349052 -0.920391
35 45 74 0.974174 0.106566 0.195311 0.038496 0.214187 -0.915783 -0.339802
26 28 12 0.972038 0.017923 0.199078 0.123245 0.954664 -0.288423 -0.073684
43 46 11 0.954413 0.008620 0.294850 0.045671 0.618860 -0.783538 0.055503
20 38 2 0.991662 0.104558 0.071870 0.022553 -0.629050 -0.469665 -0.619444
10 17 5 0.931778 0.056213 -0.231319 -0.274082 0.195676 0.776030 -0.599574
18 34 67 0.935944 0.211868 0.249401 0.130077 -0.180503 -0.850473 -0.494080
15 26 51 0.991600 0.104802 0.065486 0.038182 0.048090 -0.872070 -0.487013
22 23 41 0.992990 0.009656 0.100177 0.061993 0.060813 -0.936216 0.346124
28 32 49 0.969922 0.082504 -0.200915 -0.109900 -0.445782 0.390885 -0.805287
36 45 15 0.946829 0.108960 0.295711 0.064792 0.229930 -0.939138 -0.255249
16 26 63 0.970450 0.114164 0.174448 0.121496 0.379710 -0.874656 -0.301325
29 30 63 0.994280 -0.005760 -0.099964 -0.037158 -0.875136 0.288163 -0.388715
28 29 68 0.990308 0.105352 0.085455 0.029798 0.587524 -0.545385 -0.597805
4 9 51 0.962937 0.124717 0.123550 0.204778 -0.056810 -0.984724 -0.164596
23 42 58 0.978422 0.195454 -0.050615 -0.043892 -0.127186 0.227173 -0.965513
36 40 34 0.976137 0.089545 -0.188190 -0.061009 0.517867 0.708833 -0.478925
4 21 73 0.944422 0.270454 -0.105404 -0.154311 -0.232522 0.698191 -0.677099
18 35 71 0.961687 0.208617 0.161247 0.075077 -0.429856 -0.684665 -0.588606
8 24 39 0.972926 0.206571 0.086358 0.057315 -0.488283 -0.594698 -0.638681
7 8 28 0.984402 0.020278 0.101324 0.142391 0.075475 -0.945670 0.316246
26 32 27 0.994864 0.100464 0.009930 -0.007314 -0.136817 -0.572167 -0.808645
26 33 70 0.990430 0.093378 -0.086059 -0.054064 -0.397776 0.205311 -0.894216
20 36 46 0.951646 0.114917 0.260627 0.115056 -0.278595 -0.958929 -0.053299
14 46 17 0.953369 0.289747 -0.055984 -0.063247 -0.221696 0.007055 -0.975090
34 38 54 0.909301 -0.024171 -0.389828 -0.143600 0.585707 0.803314 -0.107859
34 47 65 0.950415 0.107145 0.285261 0.062106 0.517503 -0.743902 -0.422848
24 38 62 0.919279 0.065180 -0.344212 -0.179431 0.661590 0.718906 -0.213242
3 18 9 0.929667 0.150000 -0.185390 -0.280801 0.093080 0.761448 -0.641509
7 23 30 0.964360 0.210271 0.128086 0.096902 -0.579644 -0.608837 -0.541599
25 34 11 0.991502 0.094330 -0.074984 -0.049014 -0.315138 0.264145 -0.911546
8 18 7 0.985046 0.082158 -0.093817 -0.118883 -0.095819 0.659875 -0.745240
3 38 19 0.829405 0.303800 -0.321240 -0.341465 0.557369 0.723646 -0.407034
22 43 51 0.965624 0.205961 0.155270 0.032264 -0.358312 -0.631960 -0.687197
9 25 57 0.978367 0.201525 0.043423 0.017300 -0.423259 -0.555033 -0.716093
39 44 57 0.874424 0.016263 0.479214 0.073971 0.299628 -0.919704 0.253706
37 43 5 0.971421 0.107869 0.207391 0.041169 -0.132946 -0.965650 -0.223263
37 44 61 0.944866 0.109480 0.301459 0.066067 0.063704 -0.984406 -0.163972
7 16 72 0.946381 0.126990 0.201316 0.218424 0.067644 -0.985639 -0.154724
26 28 62 0.972038 0.017923 0.199078 0.123245 0.954664 -0.288423 -0.073684
30 47 16 0.986744 0.093573 -0.124877 -0.044571 -0.467704 0.165527 -0.868247
35 41 37 0.974954 0.088717 -0.194184 -0.062339 0.367577 0.750256 -0.549547
3 37 35 0.867686 0.329390 -0.249543 -0.276319 0.211520 0.785198 -0.582000
11 34 10 0.889023 0.242022 -0.292310 -0.256159 -0.007293 0.592041 -0.805875
13 31 14 0.977287 0.190866 -0.065740 -0.064485 -0.323318 -0.262009 -0.909295
33 48 19 0.952217 0.107306 0.279452 0.060617 0.623538 -0.601760 -0.499084
10 14 63 0.993289 0.104325 0.038084 0.032295 -0.080812 -0.894985 -0.438716
16 18 59 0.961283 -0.027508 -0.200454 -0.187073 0.522231 0.798534 -0.299362
2 17 38 0.886542 0.130116 -0.248730 -0.367760 0.121458 0.747631 -0.652913
28 46 9 0.951508 0.179948 -0.225439 -0.106905 -0.227195 0.356024 -0.906438
19 21 50 0.993938 0.102367 0.036581 0.016421 -0.653895 -0.258880 -0.710917
10 25 62 0.973810 0.183924 -0.085438 -0.102798 -0.527893 0.024847 -0.848947
26 27 65 0.992992 0.008982 0.100230 0.061975 0.850827 -0.500522 0.159909
17 43 69 0.953518 0.297188 0.047866 -0.013811 -0.410841 -0.041895 -0.910744
25 33 22 0.994631 0.101297 0.021082 -0.002140 -0.179967 -0.592419 -0.785271
29 31 8 0.977146 -0.011495 -0.199019 -0.073786 -0.696303 0.430360 -0.574415
16 25 29 0.989763 0.106255 0.081045 0.050109 -0.068813 -0.898759 -0.433009
37 44 59 0.944866 0.109480 0.301459 0.066067 0.063704 -0.984406 -0.163972
20 23 46 0.937419 0.027542 0.295127 0.182723 0.197426 -0.929291 0.312156
10 23 67 0.920191 0.150778 -0.252787 -0.258095 0.101837 0.712815 -0.693920
45 48 27 0.954111 0.008374 0.295811 0.045801 0.836125 -0.523328 -0.164389
4 37 65 0.918395 0.374446 -0.066942 -0.108905 -0.389222 0.623230 -0.678300
8 17 23 0.995028 0.098390 -0.003123 -0.015103 -0.678368 -0.195189 -0.708320
32 43 18 0.944649 0.082065 -0.304406 -0.090775 0.113645 0.774804 -0.621903
11 14 64 0.988224 0.086198 -0.077350 -0.100005 -0.705870 -0.127667 -0.696742
23 46 8 0.919189 0.205448 0.322139 0.095440 0.126070 -0.780170 -0.612732
14 46 9 0.953369 0.289747 -0.055984 -0.063247 -0.221696 0.007055 -0.975090
30 49 25 0.992262 0.102320 0.070081 0.005881 0.510993 -0.485828 -0.709124
19 42 35 0.929067 0.301814 0.204236 0.063489 -0.634980 -0.387207 -0.668485
19 35 49 0.926161 0.212144 0.275253 0.146480 -0.326526 -0.860042 -0.392058
5 20 43 0.955762 0.289148 -0.015011 -0.051828 -0.484877 0.617066 -0.619777
30 32 64 0.977089 -0.011466 -0.199358 -0.073636 -0.552700 0.588204 -0.590372
2 22 40 0.813628 0.192831 -0.346731 -0.424975 0.497186 0.692935 -0.522157
35 41 68 0.974954 0.088717 -0.194184 -0.062339 0.367577 0.750256 -0.549547
18 22 60 0.994734 0.100368 0.020424 0.003772 -0.583567 -0.289184 -0.758830
1 34 45 0.791710 0.283232 -0.375342 -0.389992 0.181101 0.620988 -0.762612
42 43 42 0.994791 0.003590 0.100692 0.015444 0.116716 -0.927465 0.355226
2 16 33 0.936113 0.154962 -0.173455 -0.263803 -0.388365 0.539690 -0.746932
27 48 52 0.976621 0.201990 0.073506 0.002965 0.160891 -0.447694 -0.879593
10 43 35 0.879049 0.346828 -0.256644 -0.202774 0.102385 0.663239 -0.741371
10 14 51 0.993289 0.104325 0.038084 0.032295 -0.080812 -0.894985 -0.438716
15 25 39 0.994459 0.095136 -0.029133 -0.033938 -0.500254 -0.248438 -0.829473
33 47 9 0.976436 0.105721 0.184714 0.035738 0.505462 -0.733395 -0.454577
15 16 66 0.990326 -0.012795 -0.101058 -0.094228 -0.118132 0.878378 -0.463138
34 35 69 0.994265 -0.006246 -0.100157 -0.036958 -0.058857 0.903756 -0.423983
31 49 39 0.978735 0.105463 0.172863 0.032765 0.696187 -0.451355 -0.558214
27 33 58 0.972351 0.083913 -0.190999 -0.104935 -0.320854 0.516726 -0.793755
4 22 16 0.955422 0.286291 -0.028115 -0.066459 -0.610576 0.352602 -0.709132
40 43 5 0.953974 0.010141 0.296257 0.045421 0.118736 -0.928950 0.350646
43 44 24 0.994912 0.003139 0.099507 0.015466 0.313756 -0.890265 0.330130
20 40 9 0.974714 0.203142 0.092631 0.009287 -0.562052 -0.213131 -0.799170
22 23 6 0.992990 0.009656 0.100177 0.061993 0.060813 -0.936216 0.346124
6 40 17 0.915963 0.392801 0.081920 0.002839 -0.617022 0.380589 -0.688793
35 40 5 0.949943 0.081851 -0.288848 -0.086458 0.562048 0.773402 -0.293176
2 35 15 0.853329 0.320933 -0.278356 -0.302240 0.049182 0.684195 -0.727639
14 46 70 0.953369 0.289747 -0.055984 -0.063247 -0.221696 0.007055 -0.975090
42 44 61 0.979460 0.006715 0.199161 0.030792 0.307893 -0.907594 0.285437
1 25 11 0.858959 0.216990 -0.289881 -0.362041 -0.183239 0.536523 -0.823752
8 9 32 0.984201 0.019688 0.102429 0.143070 0.425157 -0.855224 0.296366
22 24 61 0.972033 0.019438 0.199082 0.123044 0.353071 -0.897669 0.263689
10 35 74 0.911450 0.253587 -0.240352 -0.217217 -0.001628 0.633429 -0.773799
11 44 6 0.855537 0.332086 -0.317283 -0.238971 0.134828 0.619954 -0.772967
16 23 47 0.986305 0.085002 -0.106546 -0.092868 -0.181174 0.564421 -0.805360
47 48 58 0.994908 0.002899 0.099553 0.015435 0.903891 -0.415327 0.102395
22 37 49 0.993774 0.096213 -0.044430 -0.034377 -0.104328 0.286956 -0.952246
17 22 72 0.988936 0.086896 -0.089399 -0.080387 -0.076029 0.571691 -0.816939
21 40 77 0.979587 0.197634 -0.018172 -0.031923 -0.153990 0.210743 -0.965336
8 39 28 0.864926 0.335055 -0.296545 -0.227382 0.605875 0.702875 -0.372669
15 25 67 0.994459 0.095136 -0.029133 -0.033938 -0.500254 -0.248438 -0.829473
2 22 55 0.813628 0.192831 -0.346731 -0.424975 0.497186 0.692935 -0.522157
4 5 23 0.967153 -0.031908 -0.102783 -0.230290 0.889473 0.434071 -0.142900
3 16 76 0.979240 0.191372 -0.027642 -0.060845 -0.711023 -0.145199 -0.688014
30 31 68 0.994260 -0.005782 -0.100203 -0.037052 -0.767845 0.466200 -0.439398
38 39 33 0.991665 0.095886 -0.079408 -0.033179 0.426837 0.422732 -0.799442
12 13 19 0.990317 -0.013212 -0.100657 -0.094692 -0.796738 0.443268 -0.410759
24 33 53 0.984744 0.107723 0.127398 0.049452 0.138904 -0.902473 -0.407736
26 35 3 0.947718 0.075316 -0.273901 -0.145385 0.112355 0.761534 -0.638313
7 23 40 0.964360 0.210271 0.128086 0.096902 -0.579644 -0.608837 -0.541599
29 48 51 0.985967 0.093093 -0.130615 -0.046279 -0.530800 0.029012 -0.847000
21 37 51 0.992484 0.104102 0.061908 0.017503 -0.528470 -0.542000 -0.653418
1 25 51 0.858959 0.216990 -0.289881 -0.362041 -0.183239 0.536523 -0.823752
19 37 26 0.973259 0.204693 0.097757 0.036224 -0.650494 -0.293813 -0.700379
16 37 55 0.936419 0.164047 -0.253215 -0.179138 0.385378 0.722375 -0.574159
5 7 39 0.982813 0.115660 0.076098 0.122107 -0.800096 -0.518706 -0.301315
2 15 70 0.967461 0.175756 -0.095153 -0.155163 -0.677080 0.001478 -0.735908
23 42 73 0.978422 0.195454 -0.050615 -0.043892 -0.127186 0.227173 -0.965513
10 36 39 0.875694 0.233238 -0.319738 -0.276635 0.323209 0.721902 -0.611877
2 10 74 0.991707 0.088301 -0.041676 -0.083569 -0.764652 -0.355322 -0.537638
24 40 15 0.912674 0.163610 -0.343261 -0.149767 0.627192 0.716498 -0.305385
30 48 11 0.994568 0.098467 -0.027581 -0.019436 -0.163023 -0.307845 -0.937366
19 24 2 0.915016 0.125954 0.309583 0.225920 0.155442 -0.980480 -0.120403
16 17 40 0.990226 -0.013752 -0.101728 -0.094418 0.161855 0.901384 -0.401635
27 28 27 0.992978 0.009052 0.100251 0.062147 0.949820 -0.302525 0.079497
23 34 19 0.982945 0.109461 0.137462 0.054239 -0.027756 -0.930591 -0.365008
11 13 4 0.994771 0.101110 0.013774 0.004094 -0.058412 -0.869706 -0.490101
13 26 27 0.976258 0.080041 -0.154004 -0.129602 -0.538538 0.322493 -0.778444
11 44 2 0.855537 0.332086 -0.317283 -0.238971 0.134828 0.619954 -0.772967
30 48 43 0.994568 0.098467 -0.027581 -0.019436 -0.163023 -0.307845 -0.937366
25 42 26 0.939088 0.174415 -0.269285 -0.123203 0.288665 0.723729 -0.626809
16 40 17 0.884521 0.245803 -0.342468 -0.199797 0.623190 0.692726 -0.362994
18 19 59 0.990315 -0.013757 -0.100735 -0.094549 0.646780 0.735860 -0.200464
21 22 53 0.992968 0.009315 0.100357 0.062095 -0.172236 -0.919581 0.353138
24 44 33 0.979256 0.200095 0.028421 -0.014574 -0.233842 -0.261316 -0.936500
7 40 12 0.918464 0.379530 -0.066976 -0.088857 -0.167988 0.664870 -0.727824
19 23 17 0.954886 0.119463 0.221197 0.158093 -0.181973 -0.976576 -0.114824
4 17 49 0.977584 0.203782 0.040370 0.034230 -0.755899 -0.294999 -0.584459
26 43 33 0.933912 0.173418 -0.284943 -0.128616 0.169183 0.698037 -0.695788
5 7 15 0.982813 0.115660 0.076098 0.122107 -0.800096 -0.518706 -0.301315
21 40 15 0.979587 0.197634 -0.018172 -0.031923 -0.153990 0.210743 -0.965336
3 4 60 0.967014 -0.031070 -0.103499 -0.230665 0.546164 0.756498 -0.359743
36 46 66 0.911226 0.109091 0.387080 0.089079 0.368180 -0.870000 -0.327938
36 41 67 0.990562 0.095464 -0.091462 -0.036179 0.219194 0.511904 -0.830607
41 45 7 0.918904 0.012772 0.389646 0.060240 0.447240 -0.886097 0.121688
2 10 46 0.991707 0.088301 -0.041676 -0.083569 -0.764652 -0.355322 -0.537638
16 25 59 0.989763 0.106255 0.081045 0.050109 -0.068813 -0.898759 -0.433009
6 20 60 0.980211 0.196300 -0.001927 -0.025484 -0.485663 0.400141 -0.777187
35 43 19 0.994891 0.100211 0.001279 -0.012153 -0.146290 -0.265786 -0.952868
17 35 38 0.978658 0.200681 0.044174 0.002265 -0.465813 -0.309125 -0.829132
23 34 71 0.982945 0.109461 0.137462 0.054239 -0.027756 -0.930591 -0.365008
9 10 69 0.984320 0.019288 0.101978 0.142625 0.716464 -0.656207 0.236792
22 24 31 0.972033 0.019438 0.199082 0.123044 0.353071 -0.897669 0.263689
19 41 53 0.946725 0.300281 0.114734 0.019461 -0.615406 -0.058275 -0.786053
20 35 8 0.914990 0.118518 0.351216 0.159353 -0.016134 -0.999388 -0.031028
18 35 73 0.961687 0.208617 0.161247 0.075077 -0.429856 -0.684665 -0.588606
9 15 28 0.990266 0.108300 0.063200 0.060410 -0.155879 -0.912471 -0.378282
44 45 2 0.994891 0.002881 0.099733 0.015367 0.498450 -0.816425 0.291544
7 21 51 0.978777 0.189740 -0.043472 -0.064063 -0.385124 0.434035 -0.814428
30 32 56 0.977089 -0.011466 -0.199358 -0.073636 -0.552700 0.588204 -0.590372
35 37 55 0.977033 -0.012543 -0.199652 -0.073410 0.379259 0.880986 -0.282887
17 37 2 0.967683 0.181005 -0.137528 -0.109142 0.078973 0.600587 -0.795649
31 46 24 0.987354 0.094107 -0.119989 -0.043340 -0.379096 0.287588 -0.879534
23 45 64 0.948640 0.206437 0.231773 0.061215 -0.047997 -0.773983 -0.631385
17 39 16 0.897952 0.252057 -0.309681 -0.185058 0.687104 0.644447 -0.335525
12 31 39 0.957622 0.176371 -0.182400 -0.136322 -0.420070 0.060489 -0.905473
3 37 53 0.867686 0.329390 -0.249543 -0.276319 0.211520 0.785198 -0.582000
6 39 13 0.920874 0.386600 -0.003694 -0.050172 -0.316644 0.645400 -0.695123
24 34 51 0.994276 0.102006 0.031671 0.002581 -0.243409 -0.607717 -0.755931
35 44 5 0.989575 0.104053 0.098683 0.013263 -0.008544 -0.845422 -0.534031
22 42 61 0.977467 0.202272 0.060296 -0.002998 -0.382266 -0.268916 -0.884057
41 42 27 0.994868 0.003444 0.099951 0.015326 -0.085726 -0.924867 0.370503
14 33 52 0.968966 0.183847 -0.128954 -0.103330 -0.347422 0.208057 -0.914336
22 40 75 0.970734 0.189195 -0.128922 -0.072523 0.282155 0.547237 -0.787985
33 43 34 0.972643 0.088889 -0.204479 -0.065210 0.048177 0.725245 -0.686803
17 33 76 0.944963 0.210247 0.223379 0.113770 -0.033405 -0.816194 -0.576812
14 28 39 0.978660 0.112413 0.142063 0.096985 0.645885 -0.643330 -0.411046
2 9 22 0.961691 0.065211 -0.127949 -0.233510 -0.460455 0.590935 -0.662403
36 38 28 0.977053 -0.012065 -0.199497 -0.073643 0.549038 0.818627 -0.168548
8 38 26 0.920936 0.257545 -0.214705 -0.198618 0.329651 0.732735 -0.595340
40 41 2 0.994892 0.003257 0.099718 0.015343 -0.284495 -0.884623 0.369466
39 42 13 0.954291 0.010033 0.295224 0.045505 -0.066246 -0.901242 0.428223
4 37 76 0.918395 0.374446 -0.066942 -0.108905 -0.389222 0.623230 -0.678300
18 36 7 0.976470 0.202738 0.070937 0.019255 -0.553932 -0.312517 -0.771682
6 7 52 0.984620 0.020227 0.100607 0.141396 -0.276480 -0.913317 0.299016
44 45 3 0.994891 0.002881 0.099733 0.015367 0.498450 -0.816425 0.291544
17 42 20 0.954225 0.290087 -0.043755 -0.058217 -0.245025 0.318094 -0.915849
9 10 43 0.984320 0.019288 0.101978 0.142625 0.716464 -0.656207 0.236792
1 9 24 0.865255 0.028488 -0.244195 -0.436910 0.030594 0.768749 -0.638818
24 37 10 0.954777 0.075582 -0.253537 -0.135676 0.438429 0.775658 -0.454020
16 43 66 0.951851 0.287096 -0.077851 -0.074131 -0.199936 0.330055 -0.922545
24 43 41 0.977504 0.194113 -0.066026 -0.049467 -0.141043 0.230845 -0.962714
24 34 60 0.994276 0.102006 0.031671 0.002581 -0.243409 -0.607717 -0.755931
16 24 31 0.994974 0.096914 -0.013065 -0.021534 -0.497280 -0.265974 -0.825815
3 37 62 0.867686 0.329390 -0.249543 -0.276319 0.211520 0.785198 -0.582000
17 23 69 0.995103 0.098347 0.004133 -0.008947 -0.529083 -0.288831 -0.797902
17 38 73 0.945368 0.168275 -0.226414 -0.163401 0.479770 0.689479 -0.542623
8 23 41 0.980358 0.195856 0.000400 -0.023218 -0.610020 -0.077132 -0.788623
9 22 13 0.938633 0.158976 -0.212030 -0.220767 0.168351 0.726580 -0.666138
41 44 35 0.954032 0.010079 0.296034 0.045660 0.299286 -0.918176 0.259580
1 25 52 0.858959 0.216990 -0.289881 -0.362041 -0.183239 0.536523 -0.823752
21 37 24 0.992484 0.104102 0.061908 0.017503 -0.528470 -0.542000 -0.653418
7 19 40 0.989625 0.086765 -0.069340 -0.091138 -0.045446 0.634846 -0.771301
20 36 29 0.951646 0.114917 0.260627 0.115056 -0.278595 -0.958929 -0.053299
22 35 35 0.981137 0.110070 0.147505 0.059131 -0.199081 -0.927575 -0.316182
1 9 74 0.865255 0.028488 -0.244195 -0.436910 0.030594 0.768749 -0.638818
22 33 75 0.923662 0.118021 0.332173 0.150267 0.320453 -0.914897 -0.245507
6 39 16 0.920874 0.386600 -0.003694 -0.050172 -0.316644 0.645400 -0.695123
6 19 75 0.992512 0.106083 0.045402 0.040061 -0.800214 -0.188147 -0.569436
26 28 4 0.972038 0.017923 0.199078 0.123245 0.954664 -0.288423 -0.073684
14 44 5 0.922527 0.267675 -0.234759 -0.148937 -0.000344 0.547742 -0.836647
18 40 21 0.949539 0.284634 -0.100424 -0.085283 0.046919 0.574485 -0.817170
10 42 72 0.846742 0.325411 -0.337735 -0.251138 0.369308 0.727735 -0.577939
37 38 48 0.994248 -0.006040 -0.100293 -0.037101 0.532571 0.818693 -0.214732
5 39 61 0.877817 0.473018 -0.019300 -0.072933 -0.319193 0.810990 -0.490317
22 38 48 0.982907 0.087858 -0.140066 -0.080968 0.428341 0.659714 -0.617496
2 9 34 0.961691 0.065211 -0.127949 -0.233510 -0.460455 0.590935 -0.662403
22 42 59 0.977467 0.202272 0.060296 -0.002998 -0.382266 -0.268916 -0.884057
33 35 7 0.977113 -0.011604 -0.199224 -0.073661 -0.003275 0.880394 -0.474232
5 39 17 0.877817 0.473018 -0.019300 -0.072933 -0.319193 0.810990 -0.490317
23 46 9 0.919189 0.205448 0.322139 0.095440 0.126070 -0.780170 -0.612732
17 35 14 0.978658 0.200681 0.044174 0.002265 -0.465813 -0.309125 -0.829132
27 47 37 0.979597 0.197291 -0.020985 -0.032020 -0.128596 -0.233623 -0.963786
9 15 13 0.990266 0.108300 0.063200 0.060410 -0.155879 -0.912471 -0.378282
8 9 1 0.984201 0.019688 0.102429 0.143070 0.425157 -0.855224 0.296366
40 41 18 0.994892 0.003257 0.099718 0.015343 -0.284495 -0.884623 0.369466
8 9 25 0.984201 0.019688 0.102429 0.143070 0.425157 -0.855224 0.296366
2 17 46 0.886542 0.130116 -0.248730 -0.367760 0.121458 0.747631 -0.652913
34 41 70 0.948165 0.081185 -0.294387 -0.087915 0.418804 0.811716 -0.407088
35 44 59 0.989575 0.104053 0.098683 0.013263 -0.008544 -0.845422 -0.534031
20 22 12 0.972005 0.018306 0.199093 0.123419 -0.101107 -0.923257 0.370641
9 16 48 0.994151 0.094732 -0.028053 -0.043621 -0.658212 -0.139087 -0.739873
32 44 36 0.971279 0.088938 -0.210413 -0.066582 -0.104350 0.659934 -0.744042
20 42 9 0.934766 0.206465 0.278234 0.078557 -0.492687 -0.787012 -0.371310
30 31 51 0.994260 -0.005782 -0.100203 -0.037052 -0.767845 0.466200 -0.439398
35 41 22 0.974954 0.088717 -0.194184 -0.062339 0.367577 0.750256 -0.549547
12 28 77 0.990381 0.089759 -0.077416 -0.071379 -0.576123 -0.362025 -0.732817
37 44 21 0.944866 0.109480 0.301459 0.066067 0.063704 -0.984406 -0.163972
2 3 7 0.967181 -0.030662 -0.102923 -0.230279 0.059778 0.876606 -0.477482
45 47 2 0.979433 0.005559 0.199317 0.030865 0.780605 -0.622911 0.051360
35 44 50 0.989575 0.104053 0.098683 0.013263 -0.008544 -0.845422 -0.534031
11 33 13 0.921399 0.260301 -0.211863 -0.195909 -0.252742 0.369986 -0.893998
9 10 48 0.984320 0.019288 0.101978 0.142625 0.716464 -0.656207 0.236792
10 26 26 0.980309 0.196234 0.001353 -0.021995 -0.391390 -0.507637 -0.767540
23 44 21 0.968444 0.205193 0.138975 0.026404 -0.227712 -0.628478 -0.743749
34 45 41 0.990238 0.103233 0.092922 0.011725 0.132486 -0.814967 -0.564159
22 39 39 0.952482 0.179590 -0.221798 -0.106451 0.621487 0.620484 -0.478282
16 17 69 0.990226 -0.013752 -0.101728 -0.094418 0.161855 0.901384 -0.401635
16 17 26 0.990226 -0.013752 -0.101728 -0.094418 0.161855 0.901384 -0.401635
12 28 64 0.990381 0.089759 -0.077416 -0.071379 -0.576123 -0.362025 -0.732817
25 44 30 0.976052 0.193384 -0.082922 -0.055211 -0.167678 0.222068 -0.960505
41 45 11 0.918904 0.012772 0.389646 0.060240 0.447240 -0.886097 0.121688
17 21 33 0.968828 0.074557 -0.181872 -0.150782 0.440914 0.729638 -0.522707
24 40 56 0.912674 0.163610 -0.343261 -0.149767 0.627192 0.716498 -0.305385
8 24 42 0.972926 0.206571 0.086358 0.057315 -0.488283 -0.594698 -0.638681
15 34 16 0.973186 0.187018 -0.101992 -0.086777 -0.318188 0.240670 -0.916970
21 44 49 0.906547 0.205834 0.352727 0.106713 -0.161819 -0.896261 -0.412954
13 31 51 0.977287 0.190866 -0.065740 -0.064485 -0.323318 -0.262009 -0.909295
19 22 61 0.981305 0.111530 0.129869 0.087957 -0.528174 -0.800849 -0.282262
2 10 28 0.991707 0.088301 -0.041676 -0.083569 -0.764652 -0.355322 -0.537638
19 21 18 0.993938 0.102367 0.036581 0.016421 -0.653895 -0.258880 -0.710917
45 47 26 0.979433 0.005559 0.199317 0.030865 0.780605 -0.622911 0.051360
15 23 7 0.958333 0.070905 -0.214386 -0.174954 0.107340 0.758809 -0.642407
1 25 62 0.858959 0.216990 -0.289881 -0.362041 -0.183239 0.536523 -0.823752
15 27 44 0.974779 0.113206 0.158263 0.109285 0.527339 -0.770160 -0.358840
18 34 51 0.935944 0.211868 0.249401 0.130077 -0.180503 -0.850473 -0.494080
